name,price,url
Cascata Sweatshirt,"Rs. 13,400.00",/en-in/products/cascata-sweatshirt-black?_pos=45&_fid=1f5722e70&_ss=c
Short Sleeve Ruched Tee,"Rs. 8,000.00",/en-in/products/short-sleeve-ruched-tee-lotus?_pos=46&_fid=1f5722e70&_ss=c
Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-sweatshirt-lotus?_pos=47&_fid=1f5722e70&_ss=c
Strappy Tank in Melt,"Rs. 9,800.00",/en-in/products/strappy-tank-in-melt-lotus?_pos=48&_fid=1f5722e70&_ss=c
Puff Sleeve Tee,"Rs. 12,500.00",/en-in/products/puff-sleeve-tee-muted-clay?_pos=49&_fid=1f5722e70&_ss=c
Hawley Half Zip Sweat,"Rs. 12,500.00",/en-in/products/hawley-half-zip-sweat-withered-rose?_pos=50&_fid=1f5722e70&_ss=c
Short Sleeve Ruched Tee,"Rs. 8,000.00",/en-in/products/short-sleeve-ruched-tee-black?_pos=51&_fid=1f5722e70&_ss=c
Ombre Cap Sleeve Wrap Tee,"Rs. 11,600.00",/en-in/products/ombre-cap-sleeve-wrap-tee-black-ombre?_pos=52&_fid=1f5722e70&_ss=c
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/short-sleeve-off-shoulder-sweatshirt-granite-green?_pos=53&_fid=1f5722e70&_ss=c
Davidson Sweat,"Rs. 11,600.00",/en-in/products/davidson-sweat-cilantro?_pos=54&_fid=1f5722e70&_ss=c
Varsity Josie Sweater,"Rs. 17,200.00",/en-in/products/varsity-josie-sweater-natural?_pos=55&_fid=1f5722e70&_ss=c
Tara Half Zip Knit,"Rs. 13,400.00",/en-in/products/tara-half-zip-knit-whitecap-grey?_pos=56&_fid=1f5722e70&_ss=c
Davenport Half Zip Sweat,"Rs. 12,500.00",/en-in/products/davenport-half-zip-sweat-white?_pos=57&_fid=1f5722e70&_ss=c
Short Sleeve Sweater,"Rs. 13,400.00",/en-in/products/short-sleeve-sweater-white?_pos=58&_fid=1f5722e70&_ss=c
Chambray Denim Shirt,"Rs. 13,400.00",/en-in/products/chambray-slim-shirt-with-pearl-snaps-chambray?_pos=59&_fid=1f5722e70&_ss=c
Chambray Denim Shirt,"Rs. 13,400.00",/en-in/products/chambray-denim-shirt-light-wash?_pos=60&_fid=1f5722e70&_ss=c
Strappy Tank in Melt,"Rs. 9,800.00",/en-in/products/strappy-tank-in-melt-navy-blazer?_pos=61&_fid=1f5722e70&_ss=c
Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-sweatshirt-navy-blazer?_pos=62&_fid=1f5722e70&_ss=c
Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-sweatshirt-black?_pos=63&_fid=1f5722e70&_ss=c
High Neck Laser Cut Tank in Diamond Compression,"Rs. 11,600.00",/en-in/products/high-neck-laser-cut-tank-black?_pos=64&_fid=1f5722e70&_ss=c
Laser Cut Zip L/S Run Top in Diamond Compression,"Rs. 15,200.00",/en-in/products/laser-cut-zip-l-s-run-top-black?_pos=65&_fid=1f5722e70&_ss=c
Hi Low Oversized Boyfriend Nk Shirt with Collar St,"Rs. 17,600.00",/en-in/products/hi-low-oversized-boyfriend-nk-shirt-with-collar-st-black-mesh?_pos=66&_fid=1f5722e70&_ss=c
Strappy Tank in Melt,"Rs. 9,800.00",/en-in/products/strappy-tank-in-melt-caribou?_pos=67&_fid=1f5722e70&_ss=c
Wide Scoop Bra Tank in Melt,"Rs. 8,900.00",/en-in/products/wide-scoop-bra-tank-caribou?_pos=68&_fid=1f5722e70&_ss=c
Ribbed Tank,"Rs. 8,000.00",/en-in/products/ribbed-tank-caribou?_pos=69&_fid=1f5722e70&_ss=c
Front Twist Tank,"Rs. 6,200.00",/en-in/products/front-twist-tank-caribou?_pos=70&_fid=1f5722e70&_ss=c
Ribbed Tank,"Rs. 8,000.00",/en-in/products/ribbed-tank-1-white?_pos=71&_fid=1f5722e70&_ss=c
